FileName	NearPhrase	ReferenceObject	MapLink	GoogleNearLink
close+to+7-Eleven_L_sfbay_sby_roo_3518340285_D01_16_2013.html	close to 7-Eleven	7-Eleven	http://maps.google.com/?q=loc%3A+%32%34%33+Buena+Vista+Avenue++Sunnyvale+ca+US	http://maps.google.com/?q=7-Eleven+near+%3A+%32%34%33+Buena+Vista+Avenue++Sunnyvale+ca+US
close+to+Costco_L_anchorage_apa_3405502545_D12_06_2012.html	close to	Costco	http://maps.google.com/?q=loc%3A+%35%37%30+St+Lazaria+Circle+Anchoraage+AK+US	http://maps.google.com/?q=Costco+near+%3A+%35%37%30+St+Lazaria+Circle+Anchoraage+AK+US
close+to+Costco_L_anchorage_apa_3467738196_D12_31_2012.html	close to	Costco	http://maps.google.com/?q=loc%3A+E+%38th+Anchorage+AK+US	http://maps.google.com/?q=Costco+near+%3A+E+%38th+Anchorage+AK+US
close+to+Costco_L_anchorage_apa_3517651594_D01_15_2013.html	close to	Costco	http://maps.google.com/?q=loc%3A+Temple+Cir%2E+at+%38%33%31+Anchorage+AK+US	http://maps.google.com/?q=Costco+near+%3A+Temple+Cir%2E+at+%38%33%31+Anchorage+AK+US
close+to+Costco_L_anchorage_roo_3393925381_D12_05_2012.html	close to	Costco	http://maps.google.com/?q=loc%3A+Rovenna+at+%38%30th+Ave%2E+Anchorage+AK+US	http://maps.google.com/?q=Costco+near+%3A+Rovenna+at+%38%30th+Ave%2E+Anchorage+AK+US
close+to+Costco_L_austin_sub_3450303657_D12_19_2012.html	close to	Costco	http://maps.google.com/?q=loc%3A+%34%36%30%30+seton+center+parkway+Austin+TX+US	http://maps.google.com/?q=Costco+near+%3A+%34%36%30%30+seton+center+parkway+Austin+TX+US
close+to+Costco_L_bend_apa_3443230933_D12_05_2012.html	close to	Costco	http://maps.google.com/?q=loc%3A+%32%30%32%34+NE+Neil+Way+Bend+OR+US	http://maps.google.com/?q=Costco+near+%3A+%32%30%32%34+NE+Neil+Way+Bend+OR+US
close+to+Costco_L_bend_off_3468647006_D12_30_2012.html	close to	Costco	http://maps.google.com/?q=loc%3A+%32%36%36%39+NE+Twin+Knolls+Dr+Bend+OR+US	http://maps.google.com/?q=Costco+near+%3A+%32%36%36%39+NE+Twin+Knolls+Dr+Bend+OR+US
close+to+Costco_L_boise_apa_3481240357_D12_30_2012.html	close to	Costco	http://maps.google.com/?q=loc%3A+%31%30%39%32%34+Cloudless+St%2E+Nampa+ID+US	http://maps.google.com/?q=Costco+near+%3A+%31%30%39%32%34+Cloudless+St%2E+Nampa+ID+US
close+to+Costco_L_boise_apa_3503937018_D01_01_2013.html	close to	Costco	http://maps.google.com/?q=loc%3A+Camas+St%2E+Boise+ID+US	http://maps.google.com/?q=Costco+near+%3A+Camas+St%2E+Boise+ID+US
close+to+Costco_L_burlington_roo_3420456621_D12_17_2012.html	close to	Costco	http://maps.google.com/?q=loc%3A+Partridge+Hill+at+Rosevelt+Hwy+Colchester+VT+US	http://maps.google.com/?q=Costco+near+%3A+Partridge+Hill+at+Rosevelt+Hwy+Colchester+VT+US
close+to+Costco_L_fresno_apa_3556921376_D01_24_2013.html	close to	Costco	http://maps.google.com/?q=loc%3A+North+Polk+at+shaw+fresno+CA+US	http://maps.google.com/?q=Costco+near+%3A+North+Polk+at+shaw+fresno+CA+US
close+to+Costco_L_honolulu_oah_apa_3439136972_D12_21_2012.html	close to	Costco	http://maps.google.com/?q=loc%3A+%39%35%2D%31%31%35%37+Makaikai+Street+Mililani+HI+US	http://maps.google.com/?q=Costco+near+%3A+%39%35%2D%31%31%35%37+Makaikai+Street+Mililani+HI+US
close+to+Costco_L_honolulu_oah_reo_3434674942_D12_22_2012.html	close to	Costco	http://maps.google.com/?q=loc%3A+Kulewa+Loop+Waipahu+HI+US	http://maps.google.com/?q=Costco+near+%3A+Kulewa+Loop+Waipahu+HI+US
close+to+Costco_L_honolulu_oah_roo_3506817812_D01_13_2013.html	close to	Costco	http://maps.google.com/?q=loc%3A+Lunalilo+Hm+Rd+at+Kalanianaole+Hwy+Hawaii+Kai+HI+US	http://maps.google.com/?q=Costco+near+%3A+Lunalilo+Hm+Rd+at+Kalanianaole+Hwy+Hawaii+Kai+HI+US
close+to+Costco_L_inlandempire_apa_3379234069_D12_23_2012.html	close to	Costco	http://maps.google.com/?q=loc%3A+Hillsborough+way+at+Griffen+Corona+Ca+US	http://maps.google.com/?q=Costco+near+%3A+Hillsborough+way+at+Griffen+Corona+Ca+US
close+to+Costco_L_inlandempire_apa_3396298817_D12_11_2012.html	close to	Costco	http://maps.google.com/?q=loc%3A+hillsborough+way+at+griffin+way+Riverside+ca+US	http://maps.google.com/?q=Costco+near+%3A+hillsborough+way+at+griffin+way+Riverside+ca+US
close+to+Costco_L_inlandempire_apa_3445741666_D12_07_2012.html	close to	Costco	http://maps.google.com/?q=loc%3A+%36%33%31+Terra+Dr+Corona+CA+US	http://maps.google.com/?q=Costco+near+%3A+%36%33%31+Terra+Dr+Corona+CA+US
close+to+Costco_L_inlandempire_apa_3468998719_D12_27_2012.html	close to	Costco	http://maps.google.com/?q=loc%3A+%31%34%31%35+sycamore+san+bernardino+CA+US	http://maps.google.com/?q=Costco+near+%3A+%31%34%31%35+sycamore+san+bernardino+CA+US
close+to+Costco_L_losangeles_lgb_apa_3449479058_D12_11_2012.html	close to	Costco	http://maps.google.com/?q=loc%3A+%31%37%33%30+CORONADO+LONG+BEACH+CA+US	http://maps.google.com/?q=Costco+near+%3A+%31%37%33%30+CORONADO+LONG+BEACH+CA+US
close+to+Costco_L_losangeles_sgv_apa_3479055213_D12_20_2012.html	close to	Costco	http://maps.google.com/?q=loc%3A+%32%31%35+N%2E+BUSHNELL+AVE%2E+ALHAMBRA+CA+US	http://maps.google.com/?q=Costco+near+%3A+%32%31%35+N%2E+BUSHNELL+AVE%2E+ALHAMBRA+CA+US
close+to+Costco_L_losangeles_sgv_apa_3493571553_D12_26_2012.html	close to	Costco	http://maps.google.com/?q=loc%3A+Sierra+Madre+Ave%2E+at+Todd+Ave%2E+Azusa+Ca+US	http://maps.google.com/?q=Costco+near+%3A+Sierra+Madre+Ave%2E+at+Todd+Ave%2E+Azusa+Ca+US
close+to+Costco_L_medford_apa_3364227383_D12_08_2012.html	close to	Costco	http://maps.google.com/?q=loc%3A+%31%35%32%34+Hollyhock+Dr%2E++Medford+OR+US	http://maps.google.com/?q=Costco+near+%3A+%31%35%32%34+Hollyhock+Dr%2E++Medford+OR+US
close+to+Costco_L_minneapolis_hnp_apa_3419670937_D12_06_2012.html	close to	Costco	http://maps.google.com/?q=loc%3A+%33%30%30+Shelard+Parkway+Saint+Louis+Park+MN+US	http://maps.google.com/?q=Costco+near+%3A+%33%30%30+Shelard+Parkway+Saint+Louis+Park+MN+US
close+to+Costco_L_modesto_apa_3401523594_D12_05_2012.html	close to	Costco	http://maps.google.com/?q=loc%3A+Hennings+at+Merrifield+Modesto+CA+US	http://maps.google.com/?q=Costco+near+%3A+Hennings+at+Merrifield+Modesto+CA+US
close+to+Costco_L_monterey_apa_3476057899_D12_31_2012.html	close to	Costco	http://maps.google.com/?q=loc%3A+Geary+at+Larkin+Salinas+CA+US	http://maps.google.com/?q=Costco+near+%3A+Geary+at+Larkin+Salinas+CA+US
close+to+Costco_L_monterey_off_3396303033_D12_07_2012.html	close to	Costco	http://maps.google.com/?q=loc%3A++%31%39%30%31+Fremont++Seaside+CA+US	http://maps.google.com/?q=Costco+near+%3A++%31%39%30%31+Fremont++Seaside+CA+US
close+to+Costco_L_nashville_apa_3547475864_D01_24_2013.html	close to	Costco	http://maps.google.com/?q=loc%3A+Cougar+Dr%2E+at+Wilclay+Drive+Nashville+TN+US	http://maps.google.com/?q=Costco+near+%3A+Cougar+Dr%2E+at+Wilclay+Drive+Nashville+TN+US
close+to+Costco_L_newyork_mnh_roo_3398598240_D12_08_2012.html	close to	Costco	http://maps.google.com/?q=loc%3A+%31%31%30+NEW+YORK+NY+US	http://maps.google.com/?q=Costco+near+%3A+%31%31%30+NEW+YORK+NY+US
close+to+Costco_L_newyork_mnh_roo_3401930368_D12_14_2012.html	close to	Costco	http://maps.google.com/?q=loc%3A+%31%31%32+NEW+YORK+NY+US	http://maps.google.com/?q=Costco+near+%3A+%31%31%32+NEW+YORK+NY+US
close+to+Costco_L_newyork_mnh_roo_3465428713_D12_15_2012.html	close to	Costco	http://maps.google.com/?q=loc%3A+%32nd+AVE+NEW+YORK+NY+US	http://maps.google.com/?q=Costco+near+%3A+%32nd+AVE+NEW+YORK+NY+US
close+to+Costco_L_newyork_mnh_roo_3466670073_D12_15_2012.html	close to	Costco	http://maps.google.com/?q=loc%3A+%31%31%31+NEW+YORK+NY+US	http://maps.google.com/?q=Costco+near+%3A+%31%31%31+NEW+YORK+NY+US
close+to+Costco_L_newyork_que_abo_3489202327_D12_27_2012.html	close to	Costco	http://maps.google.com/?q=loc%3A+%31%32%2D%32%38+%33%31st+Drive+at+next+to+%32%31st+and+Broadway++Astoria+NY+US	http://maps.google.com/?q=Costco+near+%3A+%31%32%2D%32%38+%33%31st+Drive+at+next+to+%32%31st+and+Broadway++Astoria+NY+US
close+to+Costco_L_olympic_reo_3514794310_D01_14_2013.html	close to	Costco	http://maps.google.com/?q=loc%3A+%39%31+Falcon+Rd%2E+Sequim+WA+US	http://maps.google.com/?q=Costco+near+%3A+%39%31+Falcon+Rd%2E+Sequim+WA+US
close+to+Costco_L_orangecounty_apa_3393864668_D12_08_2012.html	close to	Costco	http://maps.google.com/?q=loc%3A++Montecito+at+Crown+Valley%2FCabot+Laguna+Niguel+CA+US	http://maps.google.com/?q=Costco+near+%3A++Montecito+at+Crown+Valley%2FCabot+Laguna+Niguel+CA+US
close+to+Costco_L_orangecounty_apa_3402705369_D12_05_2012.html	close to	Costco	http://maps.google.com/?q=loc%3A+Montecito+at+Crown+Valley%2FCabot+Laguna+Niguel+CA+US	http://maps.google.com/?q=Costco+near+%3A+Montecito+at+Crown+Valley%2FCabot+Laguna+Niguel+CA+US
close+to+Costco_L_orangecounty_sha_3451235938_D12_08_2012.html	close to	Costco	http://maps.google.com/?q=loc%3A+%36%36%35+treemont+pl+corona+ca+US	http://maps.google.com/?q=Costco+near+%3A+%36%36%35+treemont+pl+corona+ca+US
close+to+Costco_L_philadelphia_apa_3469294113_D12_15_2012.html	close to	Costco	http://maps.google.com/?q=loc%3A+Castle+Drive+North+Wales+PA+US	http://maps.google.com/?q=Costco+near+%3A+Castle+Drive+North+Wales+PA+US
close+to+Costco_L_phoenix_evl_off_3529064660_D01_11_2013.html	close to	Costco	http://maps.google.com/?q=loc%3A+Colorado+at+Guadalupe+Gilbert+AZ+US	http://maps.google.com/?q=Costco+near+%3A+Colorado+at+Guadalupe+Gilbert+AZ+US
close+to+Costco_L_phoenix_wvl_apa_3444761914_D12_24_2012.html	close to	Costco	http://maps.google.com/?q=loc%3A+%31%30%34%38%39+W+Sunflower+Avondale+AZ+US	http://maps.google.com/?q=Costco+near+%3A+%31%30%34%38%39+W+Sunflower+Avondale+AZ+US
close+to+Costco_L_portland_clk_apa_3453490860_D12_08_2012.html	close to	Costco	http://maps.google.com/?q=loc%3A+%32%30%30%38+NE+%31%38%31st+Ave++Vancouver+WA+US	http://maps.google.com/?q=Costco+near+%3A+%32%30%30%38+NE+%31%38%31st+Ave++Vancouver+WA+US
